config,model,subject,use_features,feature_method,n_test,accuracy,macro_f1
IMU,lstm,Andy_Dynamic,True,concat,424,0.5401,0.4862
IMU,lstm,Ankan_Dynamic,True,concat,528,0.5909,0.5266
IMU,lstm,David_Dynamic,True,concat,507,0.5838,0.5555
IMU,lstm,Hrithik_Dynamic,True,concat,481,0.7152,0.644
IMU,lstm,JJ_Dynamic,True,concat,480,0.3958,0.3137
IMU,lstm,Mustafa_Dynamic,True,concat,563,0.8508,0.8354
IMU,lstm,Rezoan_Dynamic,True,concat,456,0.7368,0.6968
IMU,lstm,Sudipta_Dynamic,True,concat,560,0.9554,0.9553
IMU,lstm,Tianjun_Dynamic,True,concat,486,0.6605,0.6383
IMU,lstm,Zongwei_Dynamic,True,concat,681,0.5463,0.4745
IMU,gru,Andy_Dynamic,True,concat,424,0.4387,0.3818
IMU,gru,Ankan_Dynamic,True,concat,528,0.5739,0.4848
IMU,gru,David_Dynamic,True,concat,507,0.4931,0.4461
IMU,gru,Hrithik_Dynamic,True,concat,481,0.8087,0.8028
IMU,gru,JJ_Dynamic,True,concat,480,0.3375,0.3256
IMU,gru,Mustafa_Dynamic,True,concat,563,0.6945,0.6458
IMU,gru,Rezoan_Dynamic,True,concat,456,0.7171,0.6172
IMU,gru,Sudipta_Dynamic,True,concat,560,0.9071,0.9074
IMU,gru,Tianjun_Dynamic,True,concat,486,0.6893,0.6847
IMU,gru,Zongwei_Dynamic,True,concat,681,0.5419,0.4799
IMU,cnn,Andy_Dynamic,True,concat,424,0.3278,0.2334
IMU,cnn,Ankan_Dynamic,True,concat,528,0.6856,0.6394
IMU,cnn,David_Dynamic,True,concat,507,0.5266,0.4983
IMU,cnn,Hrithik_Dynamic,True,concat,481,0.5738,0.5007
IMU,cnn,JJ_Dynamic,True,concat,480,0.2313,0.1446
IMU,cnn,Mustafa_Dynamic,True,concat,563,0.897,0.8917
IMU,cnn,Rezoan_Dynamic,True,concat,456,0.6557,0.5986
IMU,cnn,Sudipta_Dynamic,True,concat,560,0.9411,0.9409
IMU,cnn,Tianjun_Dynamic,True,concat,486,0.7572,0.7451
IMU,cnn,Zongwei_Dynamic,True,concat,681,0.4141,0.3413
Pressure,lstm,Andy_Dynamic,True,concat,424,0.8302,0.8311
Pressure,lstm,Ankan_Dynamic,True,concat,528,0.714,0.6898
Pressure,lstm,David_Dynamic,True,concat,507,0.714,0.6858
Pressure,lstm,Hrithik_Dynamic,True,concat,481,0.8794,0.8776
Pressure,lstm,JJ_Dynamic,True,concat,480,0.6104,0.5663
Pressure,lstm,Mustafa_Dynamic,True,concat,563,0.9503,0.9483
Pressure,lstm,Rezoan_Dynamic,True,concat,456,0.9057,0.9008
Pressure,lstm,Sudipta_Dynamic,True,concat,560,0.8857,0.8857
Pressure,lstm,Tianjun_Dynamic,True,concat,486,0.7613,0.7499
Pressure,lstm,Zongwei_Dynamic,True,concat,681,0.5844,0.525
Pressure,gru,Andy_Dynamic,True,concat,424,0.7736,0.7677
Pressure,gru,Ankan_Dynamic,True,concat,528,0.625,0.6185
Pressure,gru,David_Dynamic,True,concat,507,0.6785,0.6272
Pressure,gru,Hrithik_Dynamic,True,concat,481,0.7131,0.685
Pressure,gru,JJ_Dynamic,True,concat,480,0.6833,0.6513
Pressure,gru,Mustafa_Dynamic,True,concat,563,0.9343,0.9318
Pressure,gru,Rezoan_Dynamic,True,concat,456,0.9123,0.908
Pressure,gru,Sudipta_Dynamic,True,concat,560,0.9321,0.9321
Pressure,gru,Tianjun_Dynamic,True,concat,486,0.7222,0.7145
Pressure,gru,Zongwei_Dynamic,True,concat,681,0.8473,0.8226
Pressure,cnn,Andy_Dynamic,True,concat,424,0.7311,0.7007
Pressure,cnn,Ankan_Dynamic,True,concat,528,0.7443,0.7438
Pressure,cnn,David_Dynamic,True,concat,507,0.7436,0.6701
Pressure,cnn,Hrithik_Dynamic,True,concat,481,0.8503,0.8384
Pressure,cnn,JJ_Dynamic,True,concat,480,0.7375,0.6723
Pressure,cnn,Mustafa_Dynamic,True,concat,563,0.9822,0.9819
Pressure,cnn,Rezoan_Dynamic,True,concat,456,0.9298,0.921
Pressure,cnn,Sudipta_Dynamic,True,concat,560,0.8929,0.8904
Pressure,cnn,Tianjun_Dynamic,True,concat,486,0.7881,0.7823
Pressure,cnn,Zongwei_Dynamic,True,concat,681,0.9927,0.9928
IMU+Pressure,lstm,Andy_Dynamic,True,concat,424,0.7382,0.739
IMU+Pressure,lstm,Ankan_Dynamic,True,concat,528,0.7197,0.7236
IMU+Pressure,lstm,David_Dynamic,True,concat,507,0.8126,0.8076
IMU+Pressure,lstm,Hrithik_Dynamic,True,concat,481,0.8794,0.8774
IMU+Pressure,lstm,JJ_Dynamic,True,concat,480,0.6813,0.6766
IMU+Pressure,lstm,Mustafa_Dynamic,True,concat,563,0.7744,0.7202
IMU+Pressure,lstm,Rezoan_Dynamic,True,concat,456,0.9298,0.9205
IMU+Pressure,lstm,Sudipta_Dynamic,True,concat,560,0.95,0.9501
IMU+Pressure,lstm,Tianjun_Dynamic,True,concat,486,0.6872,0.6822
IMU+Pressure,lstm,Zongwei_Dynamic,True,concat,681,0.9883,0.9882
IMU+Pressure,gru,Andy_Dynamic,True,concat,424,0.7382,0.7374
IMU+Pressure,gru,Ankan_Dynamic,True,concat,528,0.6742,0.6758
IMU+Pressure,gru,David_Dynamic,True,concat,507,0.8462,0.8448
IMU+Pressure,gru,Hrithik_Dynamic,True,concat,481,0.8025,0.7885
IMU+Pressure,gru,JJ_Dynamic,True,concat,480,0.6521,0.6374
IMU+Pressure,gru,Mustafa_Dynamic,True,concat,563,0.7744,0.7532
IMU+Pressure,gru,Rezoan_Dynamic,True,concat,456,0.9518,0.9487
IMU+Pressure,gru,Sudipta_Dynamic,True,concat,560,0.9446,0.9446
IMU+Pressure,gru,Tianjun_Dynamic,True,concat,486,0.7531,0.7387
IMU+Pressure,gru,Zongwei_Dynamic,True,concat,681,0.9706,0.9703
IMU+Pressure,cnn,Andy_Dynamic,True,concat,424,0.5896,0.5381
IMU+Pressure,cnn,Ankan_Dynamic,True,concat,528,0.7008,0.6694
IMU+Pressure,cnn,David_Dynamic,True,concat,507,0.7239,0.6696
IMU+Pressure,cnn,Hrithik_Dynamic,True,concat,481,0.8919,0.891
IMU+Pressure,cnn,JJ_Dynamic,True,concat,480,0.4792,0.4398
IMU+Pressure,cnn,Mustafa_Dynamic,True,concat,563,0.9893,0.9894
IMU+Pressure,cnn,Rezoan_Dynamic,True,concat,456,0.9408,0.9364
IMU+Pressure,cnn,Sudipta_Dynamic,True,concat,560,0.8982,0.8984
IMU+Pressure,cnn,Tianjun_Dynamic,True,concat,486,0.749,0.7416
IMU+Pressure,cnn,Zongwei_Dynamic,True,concat,681,0.9427,0.9435
