config,model,subject,use_features,feature_method,n_test,accuracy,macro_f1
IMU,lstm,Andy_Dynamic,False,concat,424,0.4316,0.3638
IMU,lstm,Ankan_Dynamic,False,concat,528,0.6231,0.5674
IMU,lstm,David_Dynamic,False,concat,507,0.5424,0.5118
IMU,lstm,Hrithik_Dynamic,False,concat,481,0.8503,0.8466
IMU,lstm,JJ_Dynamic,False,concat,480,0.3063,0.2213
IMU,lstm,Mustafa_Dynamic,False,concat,563,0.897,0.8862
IMU,lstm,Rezoan_Dynamic,False,concat,456,0.5811,0.4776
IMU,lstm,Sudipta_Dynamic,False,concat,560,0.9018,0.9046
IMU,lstm,Tianjun_Dynamic,False,concat,486,0.677,0.668
IMU,lstm,Zongwei_Dynamic,False,concat,681,0.6256,0.5445
IMU,gru,Andy_Dynamic,False,concat,424,0.3962,0.3144
IMU,gru,Ankan_Dynamic,False,concat,528,0.5473,0.4868
IMU,gru,David_Dynamic,False,concat,507,0.5503,0.5122
IMU,gru,Hrithik_Dynamic,False,concat,481,0.6362,0.5762
IMU,gru,JJ_Dynamic,False,concat,480,0.3563,0.3369
IMU,gru,Mustafa_Dynamic,False,concat,563,0.7798,0.7245
IMU,gru,Rezoan_Dynamic,False,concat,456,0.7851,0.7511
IMU,gru,Sudipta_Dynamic,False,concat,560,0.8821,0.8852
IMU,gru,Tianjun_Dynamic,False,concat,486,0.6584,0.6652
IMU,gru,Zongwei_Dynamic,False,concat,681,0.4905,0.4272
IMU,cnn,Andy_Dynamic,False,concat,424,0.2476,0.1316
IMU,cnn,Ankan_Dynamic,False,concat,528,0.6193,0.5624
IMU,cnn,David_Dynamic,False,concat,507,0.4872,0.4066
IMU,cnn,Hrithik_Dynamic,False,concat,481,0.6902,0.6747
IMU,cnn,JJ_Dynamic,False,concat,480,0.2292,0.1122
IMU,cnn,Mustafa_Dynamic,False,concat,563,0.865,0.8517
IMU,cnn,Rezoan_Dynamic,False,concat,456,0.6689,0.576
IMU,cnn,Sudipta_Dynamic,False,concat,560,0.9196,0.9189
IMU,cnn,Tianjun_Dynamic,False,concat,486,0.8292,0.8233
IMU,cnn,Zongwei_Dynamic,False,concat,681,0.4523,0.3436
Pressure,lstm,Andy_Dynamic,False,concat,424,0.7476,0.7514
Pressure,lstm,Ankan_Dynamic,False,concat,528,0.6572,0.6397
Pressure,lstm,David_Dynamic,False,concat,507,0.7298,0.6676
Pressure,lstm,Hrithik_Dynamic,False,concat,481,0.8649,0.8538
Pressure,lstm,JJ_Dynamic,False,concat,480,0.6479,0.6116
Pressure,lstm,Mustafa_Dynamic,False,concat,563,0.9627,0.9602
Pressure,lstm,Rezoan_Dynamic,False,concat,456,0.8838,0.8726
Pressure,lstm,Sudipta_Dynamic,False,concat,560,0.9,0.9007
Pressure,lstm,Tianjun_Dynamic,False,concat,486,0.6852,0.6805
Pressure,lstm,Zongwei_Dynamic,False,concat,681,0.9192,0.9134
Pressure,gru,Andy_Dynamic,False,concat,424,0.7972,0.7898
Pressure,gru,Ankan_Dynamic,False,concat,528,0.7178,0.7126
Pressure,gru,David_Dynamic,False,concat,507,0.7061,0.6561
Pressure,gru,Hrithik_Dynamic,False,concat,481,0.7505,0.7268
Pressure,gru,JJ_Dynamic,False,concat,480,0.8333,0.8074
Pressure,gru,Mustafa_Dynamic,False,concat,563,0.9485,0.9466
Pressure,gru,Rezoan_Dynamic,False,concat,456,0.9013,0.8978
Pressure,gru,Sudipta_Dynamic,False,concat,560,0.9321,0.932
Pressure,gru,Tianjun_Dynamic,False,concat,486,0.6687,0.6556
Pressure,gru,Zongwei_Dynamic,False,concat,681,0.9001,0.8969
Pressure,cnn,Andy_Dynamic,False,concat,424,0.7759,0.7526
Pressure,cnn,Ankan_Dynamic,False,concat,528,0.5739,0.5186
Pressure,cnn,David_Dynamic,False,concat,507,0.7515,0.6785
Pressure,cnn,Hrithik_Dynamic,False,concat,481,0.8191,0.8031
Pressure,cnn,JJ_Dynamic,False,concat,480,0.7438,0.7002
Pressure,cnn,Mustafa_Dynamic,False,concat,563,0.9893,0.9895
Pressure,cnn,Rezoan_Dynamic,False,concat,456,0.8991,0.8884
Pressure,cnn,Sudipta_Dynamic,False,concat,560,0.9375,0.9377
Pressure,cnn,Tianjun_Dynamic,False,concat,486,0.7202,0.7045
Pressure,cnn,Zongwei_Dynamic,False,concat,681,0.9897,0.9899
IMU+Pressure,lstm,Andy_Dynamic,False,concat,424,0.8325,0.827
IMU+Pressure,lstm,Ankan_Dynamic,False,concat,528,0.5265,0.52
IMU+Pressure,lstm,David_Dynamic,False,concat,507,0.7396,0.7109
IMU+Pressure,lstm,Hrithik_Dynamic,False,concat,481,0.817,0.8007
IMU+Pressure,lstm,JJ_Dynamic,False,concat,480,0.6542,0.6382
IMU+Pressure,lstm,Mustafa_Dynamic,False,concat,563,0.8952,0.8818
IMU+Pressure,lstm,Rezoan_Dynamic,False,concat,456,0.9605,0.9564
IMU+Pressure,lstm,Sudipta_Dynamic,False,concat,560,0.9018,0.9011
