subject,config,model,use_features,feature_method,n_cycles,n_test,n_classes,accuracy,macro_f1,weighted_f1
Andy_Dynamic,IMU,lstm,True,concat,424,85,4,0.9529,0.9502,0.9529
Andy_Dynamic,IMU,gru,True,concat,424,85,4,0.9882,0.9871,0.9883
Andy_Dynamic,IMU,cnn,True,concat,424,85,4,0.9882,0.9871,0.9883
Andy_Dynamic,Pressure,lstm,True,concat,424,85,4,0.9294,0.9254,0.9301
Andy_Dynamic,Pressure,gru,True,concat,424,85,4,0.9412,0.9376,0.9412
Andy_Dynamic,Pressure,cnn,True,concat,424,85,4,0.9529,0.9513,0.9529
Andy_Dynamic,IMU+Pressure,lstm,True,concat,424,85,4,0.9882,0.9881,0.9882
Andy_Dynamic,IMU+Pressure,gru,True,concat,424,85,4,0.9529,0.9535,0.9531
Andy_Dynamic,IMU+Pressure,cnn,True,concat,424,85,4,0.9882,0.9871,0.9883
Ankan_Dynamic,IMU,lstm,True,concat,528,106,4,0.9057,0.9041,0.9048
Ankan_Dynamic,IMU,gru,True,concat,528,106,4,0.9434,0.9439,0.9437
Ankan_Dynamic,IMU,cnn,True,concat,528,106,4,0.9811,0.9818,0.9811
Ankan_Dynamic,Pressure,lstm,True,concat,528,106,4,0.9245,0.9254,0.9248
Ankan_Dynamic,Pressure,gru,True,concat,528,106,4,0.783,0.7796,0.7803
Ankan_Dynamic,Pressure,cnn,True,concat,528,106,4,0.934,0.9345,0.933
Ankan_Dynamic,IMU+Pressure,lstm,True,concat,528,106,4,0.9717,0.9718,0.9717
Ankan_Dynamic,IMU+Pressure,gru,True,concat,528,106,4,0.9811,0.9816,0.9813
Ankan_Dynamic,IMU+Pressure,cnn,True,concat,528,106,4,0.9811,0.9813,0.981
David_Dynamic,IMU,lstm,True,concat,507,102,4,0.7941,0.7942,0.7941
David_Dynamic,IMU,gru,True,concat,507,102,4,0.902,0.9006,0.9006
David_Dynamic,IMU,cnn,True,concat,507,102,4,0.9706,0.9702,0.9706
David_Dynamic,Pressure,lstm,True,concat,507,102,4,0.9902,0.9902,0.9902
David_Dynamic,Pressure,gru,True,concat,507,102,4,1.0,1.0,1.0
David_Dynamic,Pressure,cnn,True,concat,507,102,4,0.9902,0.9902,0.9902
David_Dynamic,IMU+Pressure,lstm,True,concat,507,102,4,0.9608,0.9607,0.961
David_Dynamic,IMU+Pressure,gru,True,concat,507,102,4,0.9412,0.9413,0.9414
David_Dynamic,IMU+Pressure,cnn,True,concat,507,102,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU,lstm,True,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU,gru,True,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU,cnn,True,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,Pressure,lstm,True,concat,481,97,4,0.9794,0.9803,0.9793
Hrithik_Dynamic,Pressure,gru,True,concat,481,97,4,0.9485,0.9502,0.949
Hrithik_Dynamic,Pressure,cnn,True,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU+Pressure,lstm,True,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU+Pressure,gru,True,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU+Pressure,cnn,True,concat,481,97,4,0.9897,0.9902,0.9897
JJ_Dynamic,IMU,lstm,True,concat,480,96,4,0.9896,0.9896,0.9896
JJ_Dynamic,IMU,gru,True,concat,480,96,4,1.0,1.0,1.0
JJ_Dynamic,IMU,cnn,True,concat,480,96,4,1.0,1.0,1.0
JJ_Dynamic,Pressure,lstm,True,concat,480,96,4,0.9792,0.9789,0.9789
JJ_Dynamic,Pressure,gru,True,concat,480,96,4,0.9792,0.9792,0.9792
JJ_Dynamic,Pressure,cnn,True,concat,480,96,4,0.9583,0.9581,0.9581
JJ_Dynamic,IMU+Pressure,lstm,True,concat,480,96,4,0.9688,0.9687,0.9687
JJ_Dynamic,IMU+Pressure,gru,True,concat,480,96,4,0.9896,0.9896,0.9896
JJ_Dynamic,IMU+Pressure,cnn,True,concat,480,96,4,0.9792,0.9791,0.9791
Mustafa_Dynamic,IMU,lstm,True,concat,563,113,4,0.9912,0.9906,0.9912
Mustafa_Dynamic,IMU,gru,True,concat,563,113,4,0.9912,0.9918,0.9911
Mustafa_Dynamic,IMU,cnn,True,concat,563,113,4,1.0,1.0,1.0
Mustafa_Dynamic,Pressure,lstm,True,concat,563,113,4,0.9646,0.9619,0.9647
Mustafa_Dynamic,Pressure,gru,True,concat,563,113,4,0.9204,0.9146,0.9202
Mustafa_Dynamic,Pressure,cnn,True,concat,563,113,4,1.0,1.0,1.0
Mustafa_Dynamic,IMU+Pressure,lstm,True,concat,563,113,4,0.9823,0.9811,0.9823
