subject,config,model,n_cycles,n_train,n_test,n_classes,accuracy,macro_f1,weighted_f1
Andy_Dynamic,IMU,lstm,424,339,85,4,0.9412,0.9333,0.9394
Andy_Dynamic,IMU,gru,424,339,85,4,0.9529,0.9473,0.9521
Andy_Dynamic,IMU,cnn,424,339,85,4,0.9765,0.9743,0.9765
Andy_Dynamic,Pressure,lstm,424,339,85,4,0.9529,0.9493,0.9536
Andy_Dynamic,Pressure,gru,424,339,85,4,0.9529,0.9511,0.9527
Andy_Dynamic,Pressure,cnn,424,339,85,4,0.9412,0.9385,0.9413
Andy_Dynamic,IMU+Pressure,lstm,424,339,85,4,0.9529,0.9493,0.9536
Andy_Dynamic,IMU+Pressure,gru,424,339,85,4,0.9294,0.9241,0.93
Andy_Dynamic,IMU+Pressure,cnn,424,339,85,4,0.9882,0.9871,0.9883
Ankan_Dynamic,IMU,lstm,528,422,106,4,0.9623,0.9627,0.9622
Ankan_Dynamic,IMU,gru,528,422,106,4,0.9717,0.9723,0.9719
Ankan_Dynamic,IMU,cnn,528,422,106,4,0.9623,0.9635,0.9622
Ankan_Dynamic,Pressure,lstm,528,422,106,4,0.9717,0.9715,0.9715
Ankan_Dynamic,Pressure,gru,528,422,106,4,0.8491,0.8464,0.8472
Ankan_Dynamic,Pressure,cnn,528,422,106,4,0.9528,0.9539,0.9526
Ankan_Dynamic,IMU+Pressure,lstm,528,422,106,4,0.9811,0.9809,0.9811
Ankan_Dynamic,IMU+Pressure,gru,528,422,106,4,0.9811,0.9813,0.9811
Ankan_Dynamic,IMU+Pressure,cnn,528,422,106,4,0.9811,0.9813,0.981
David_Dynamic,IMU,lstm,507,405,102,4,0.8529,0.8525,0.8523
David_Dynamic,IMU,gru,507,405,102,4,0.951,0.9512,0.9514
David_Dynamic,IMU,cnn,507,405,102,4,0.9706,0.9702,0.9704
David_Dynamic,Pressure,lstm,507,405,102,4,0.9804,0.9804,0.9804
David_Dynamic,Pressure,gru,507,405,102,4,0.9902,0.9902,0.9902
David_Dynamic,Pressure,cnn,507,405,102,4,0.9902,0.9902,0.9902
David_Dynamic,IMU+Pressure,lstm,507,405,102,4,0.9804,0.9804,0.9804
David_Dynamic,IMU+Pressure,gru,507,405,102,4,0.9608,0.9597,0.96
David_Dynamic,IMU+Pressure,cnn,507,405,102,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU,lstm,481,384,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU,gru,481,384,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU,cnn,481,384,97,4,1.0,1.0,1.0
Hrithik_Dynamic,Pressure,lstm,481,384,97,4,0.8866,0.8898,0.8853
Hrithik_Dynamic,Pressure,gru,481,384,97,4,0.9485,0.9489,0.9477
Hrithik_Dynamic,Pressure,cnn,481,384,97,4,0.9897,0.9902,0.9897
Hrithik_Dynamic,IMU+Pressure,lstm,481,384,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU+Pressure,gru,481,384,97,4,0.9897,0.9898,0.9897
Hrithik_Dynamic,IMU+Pressure,cnn,481,384,97,4,1.0,1.0,1.0
JJ_Dynamic,IMU,lstm,480,384,96,4,0.9896,0.9896,0.9896
JJ_Dynamic,IMU,gru,480,384,96,4,0.9583,0.9581,0.9581
JJ_Dynamic,IMU,cnn,480,384,96,4,1.0,1.0,1.0
JJ_Dynamic,Pressure,lstm,480,384,96,4,0.9479,0.9475,0.9475
JJ_Dynamic,Pressure,gru,480,384,96,4,0.9167,0.9164,0.9164
JJ_Dynamic,Pressure,cnn,480,384,96,4,0.9479,0.9469,0.9469
JJ_Dynamic,IMU+Pressure,lstm,480,384,96,4,0.9896,0.9896,0.9896
JJ_Dynamic,IMU+Pressure,gru,480,384,96,4,0.9896,0.9896,0.9896
JJ_Dynamic,IMU+Pressure,cnn,480,384,96,4,0.9688,0.9685,0.9685
Mustafa_Dynamic,IMU,lstm,563,450,113,4,0.9735,0.9751,0.9736
Mustafa_Dynamic,IMU,gru,563,450,113,4,0.9912,0.9916,0.9912
Mustafa_Dynamic,IMU,cnn,563,450,113,4,1.0,1.0,1.0
Mustafa_Dynamic,Pressure,lstm,563,450,113,4,0.9912,0.9902,0.9911
