subject,config,model,use_features,feature_method,n_cycles,n_test,n_classes,accuracy,macro_f1,weighted_f1
Andy_Dynamic,IMU,lstm,False,concat,424,85,4,0.9294,0.921,0.9282
Andy_Dynamic,IMU,gru,False,concat,424,85,4,1.0,1.0,1.0
Andy_Dynamic,IMU,cnn,False,concat,424,85,4,0.9882,0.9871,0.9883
Andy_Dynamic,Pressure,lstm,False,concat,424,85,4,0.9882,0.9871,0.9883
Andy_Dynamic,Pressure,gru,False,concat,424,85,4,0.9647,0.9622,0.9653
Andy_Dynamic,Pressure,cnn,False,concat,424,85,4,0.9412,0.9404,0.9412
Andy_Dynamic,IMU+Pressure,lstm,False,concat,424,85,4,0.9647,0.9642,0.9647
Andy_Dynamic,IMU+Pressure,gru,False,concat,424,85,4,0.9647,0.9629,0.9644
Andy_Dynamic,IMU+Pressure,cnn,False,concat,424,85,4,0.9882,0.9871,0.9883
Ankan_Dynamic,IMU,lstm,False,concat,528,106,4,0.9906,0.9907,0.9906
Ankan_Dynamic,IMU,gru,False,concat,528,106,4,0.9717,0.9716,0.9717
Ankan_Dynamic,IMU,cnn,False,concat,528,106,4,0.9906,0.9909,0.9906
Ankan_Dynamic,Pressure,lstm,False,concat,528,106,4,0.9717,0.9715,0.9717
Ankan_Dynamic,Pressure,gru,False,concat,528,106,4,0.8774,0.8768,0.8768
Ankan_Dynamic,Pressure,cnn,False,concat,528,106,4,0.9623,0.9631,0.9621
Ankan_Dynamic,IMU+Pressure,lstm,False,concat,528,106,4,0.9811,0.9815,0.9811
Ankan_Dynamic,IMU+Pressure,gru,False,concat,528,106,4,0.9623,0.9626,0.9631
Ankan_Dynamic,IMU+Pressure,cnn,False,concat,528,106,4,0.9811,0.9813,0.981
David_Dynamic,IMU,lstm,False,concat,507,102,4,0.9216,0.9223,0.9222
David_Dynamic,IMU,gru,False,concat,507,102,4,0.8922,0.8867,0.8872
David_Dynamic,IMU,cnn,False,concat,507,102,4,0.9804,0.98,0.9802
David_Dynamic,Pressure,lstm,False,concat,507,102,4,0.9902,0.99,0.9902
David_Dynamic,Pressure,gru,False,concat,507,102,4,0.9608,0.9607,0.9607
David_Dynamic,Pressure,cnn,False,concat,507,102,4,0.9902,0.9902,0.9902
David_Dynamic,IMU+Pressure,lstm,False,concat,507,102,4,0.9804,0.9803,0.9803
David_Dynamic,IMU+Pressure,gru,False,concat,507,102,4,0.9902,0.9902,0.9902
David_Dynamic,IMU+Pressure,cnn,False,concat,507,102,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU,lstm,False,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU,gru,False,concat,481,97,4,0.9897,0.9896,0.9897
Hrithik_Dynamic,IMU,cnn,False,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,Pressure,lstm,False,concat,481,97,4,0.9588,0.96,0.9586
Hrithik_Dynamic,Pressure,gru,False,concat,481,97,4,0.9897,0.9902,0.9897
Hrithik_Dynamic,Pressure,cnn,False,concat,481,97,4,0.9897,0.9902,0.9897
Hrithik_Dynamic,IMU+Pressure,lstm,False,concat,481,97,4,0.9897,0.9895,0.9897
Hrithik_Dynamic,IMU+Pressure,gru,False,concat,481,97,4,1.0,1.0,1.0
Hrithik_Dynamic,IMU+Pressure,cnn,False,concat,481,97,4,1.0,1.0,1.0
JJ_Dynamic,IMU,lstm,False,concat,480,96,4,0.9792,0.9792,0.9792
JJ_Dynamic,IMU,gru,False,concat,480,96,4,1.0,1.0,1.0
JJ_Dynamic,IMU,cnn,False,concat,480,96,4,1.0,1.0,1.0
JJ_Dynamic,Pressure,lstm,False,concat,480,96,4,0.9479,0.9476,0.9476
JJ_Dynamic,Pressure,gru,False,concat,480,96,4,0.9375,0.9381,0.9381
JJ_Dynamic,Pressure,cnn,False,concat,480,96,4,0.9583,0.9581,0.9581
JJ_Dynamic,IMU+Pressure,lstm,False,concat,480,96,4,0.9792,0.9792,0.9792
JJ_Dynamic,IMU+Pressure,gru,False,concat,480,96,4,0.9896,0.9896,0.9896
JJ_Dynamic,IMU+Pressure,cnn,False,concat,480,96,4,0.9792,0.9792,0.9792
Mustafa_Dynamic,IMU,lstm,False,concat,563,113,4,0.9823,0.9836,0.9822
Mustafa_Dynamic,IMU,gru,False,concat,563,113,4,1.0,1.0,1.0
Mustafa_Dynamic,IMU,cnn,False,concat,563,113,4,1.0,1.0,1.0
Mustafa_Dynamic,Pressure,lstm,False,concat,563,113,4,1.0,1.0,1.0
Mustafa_Dynamic,Pressure,gru,False,concat,563,113,4,0.9735,0.9707,0.973
Mustafa_Dynamic,Pressure,cnn,False,concat,563,113,4,1.0,1.0,1.0
Mustafa_Dynamic,IMU+Pressure,lstm,False,concat,563,113,4,0.9823,0.9836,0.9822
Mustafa_Dynamic,IMU+Pressure,gru,False,concat,563,113,4,0.9823,0.9811,0.9823
Mustafa_Dynamic,IMU+Pressure,cnn,False,concat,563,113,4,1.0,1.0,1.0
Rezoan_Dynamic,IMU,lstm,False,concat,456,92,4,0.9891,0.9888,0.9892
Rezoan_Dynamic,IMU,gru,False,concat,456,92,4,0.9891,0.9893,0.9891
Rezoan_Dynamic,IMU,cnn,False,concat,456,92,4,1.0,1.0,1.0
Rezoan_Dynamic,Pressure,lstm,False,concat,456,92,4,0.9674,0.964,0.9666
Rezoan_Dynamic,Pressure,gru,False,concat,456,92,4,0.9565,0.9543,0.9565
Rezoan_Dynamic,Pressure,cnn,False,concat,456,92,4,0.9565,0.9531,0.9563
Rezoan_Dynamic,IMU+Pressure,lstm,False,concat,456,92,4,0.9783,0.9761,0.9783
Rezoan_Dynamic,IMU+Pressure,gru,False,concat,456,92,4,0.9674,0.9638,0.9671
Rezoan_Dynamic,IMU+Pressure,cnn,False,concat,456,92,4,0.9783,0.976,0.9782
Sudipta_Dynamic,IMU,lstm,False,concat,560,112,4,1.0,1.0,1.0
Sudipta_Dynamic,IMU,gru,False,concat,560,112,4,1.0,1.0,1.0
Sudipta_Dynamic,IMU,cnn,False,concat,560,112,4,1.0,1.0,1.0
Sudipta_Dynamic,Pressure,lstm,False,concat,560,112,4,0.9643,0.9643,0.9643
Sudipta_Dynamic,Pressure,gru,False,concat,560,112,4,0.9732,0.9732,0.9732
Sudipta_Dynamic,Pressure,cnn,False,concat,560,112,4,0.9643,0.9642,0.9642
Sudipta_Dynamic,IMU+Pressure,lstm,False,concat,560,112,4,0.9911,0.9911,0.9911
Sudipta_Dynamic,IMU+Pressure,gru,False,concat,560,112,4,1.0,1.0,1.0
Sudipta_Dynamic,IMU+Pressure,cnn,False,concat,560,112,4,1.0,1.0,1.0
Tianjun_Dynamic,IMU,lstm,False,concat,486,98,4,0.949,0.9479,0.9486
Tianjun_Dynamic,IMU,gru,False,concat,486,98,4,0.9592,0.959,0.9589
Tianjun_Dynamic,IMU,cnn,False,concat,486,98,4,0.9796,0.9792,0.9796
Tianjun_Dynamic,Pressure,lstm,False,concat,486,98,4,0.898,0.8962,0.8971
Tianjun_Dynamic,Pressure,gru,False,concat,486,98,4,0.9388,0.9374,0.9386
Tianjun_Dynamic,Pressure,cnn,False,concat,486,98,4,0.9592,0.9583,0.9592
Tianjun_Dynamic,IMU+Pressure,lstm,False,concat,486,98,4,0.9592,0.9586,0.9591
Tianjun_Dynamic,IMU+Pressure,gru,False,concat,486,98,4,0.9694,0.9691,0.9694
Tianjun_Dynamic,IMU+Pressure,cnn,False,concat,486,98,4,0.9796,0.9803,0.9798
Zongwei_Dynamic,IMU,lstm,False,concat,681,137,4,0.9781,0.9781,0.978
Zongwei_Dynamic,IMU,gru,False,concat,681,137,4,1.0,1.0,1.0
Zongwei_Dynamic,IMU,cnn,False,concat,681,137,4,1.0,1.0,1.0
Zongwei_Dynamic,Pressure,lstm,False,concat,681,137,4,0.9927,0.9925,0.9927
Zongwei_Dynamic,Pressure,gru,False,concat,681,137,4,1.0,1.0,1.0
Zongwei_Dynamic,Pressure,cnn,False,concat,681,137,4,1.0,1.0,1.0
Zongwei_Dynamic,IMU+Pressure,lstm,False,concat,681,137,4,1.0,1.0,1.0
Zongwei_Dynamic,IMU+Pressure,gru,False,concat,681,137,4,1.0,1.0,1.0
Zongwei_Dynamic,IMU+Pressure,cnn,False,concat,681,137,4,1.0,1.0,1.0
